"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"76694";"LUPIONÓPOLIS";"76694";"LUPIONÓPOLIS";"159";"11";"Prefeito";"4179";"14";"0";"4179";"14";"3668";"511";"N";"3516";"25";"127";"0";"0";"0";"17:26:02";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"74705";"RAMILÂNDIA";"74705";"RAMILÂNDIA";"118";"11";"Prefeito";"3653";"10";"0";"3653";"10";"3206";"447";"N";"3047";"34";"125";"0";"0";"0";"17:24:43";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75990";"INÁCIO MARTINS";"75990";"INÁCIO MARTINS";"34";"11";"Prefeito";"8211";"38";"1";"8211";"38";"7254";"957";"N";"6894";"88";"272";"0";"0";"0";"20:32:13";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75353";"CURITIBA";"75353";"CURITIBA";"175";"13";"Vereador";"147677";"437";"2";"147677";"437";"123812";"23865";"N";"94398";"11066";"10759";"7589";"0";"0";"18:08:00";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75582";"QUARTO CENTENÁRIO";"75582";"QUARTO CENTENÁRIO";"92";"13";"Vereador";"3912";"14";"0";"3912";"14";"3350";"562";"N";"3135";"44";"36";"135";"0";"0";"18:25:51";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"74748";"RIO BONITO DO IGUAÇU";"74748";"RIO BONITO DO IGUAÇU";"45";"13";"Vereador";"10522";"38";"1";"10522";"38";"9113";"1409";"N";"8486";"114";"103";"410";"0";"0";"18:19:16";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"1";"Eleição Suplementar";"1";"247";"ELEIÇÃO SUPLEMENTAR DE FOZ DO IGUAÇU";"02/04/2017";"M";"PR";"75639";"FOZ DO IGUAÇU";"75639";"FOZ DO IGUAÇU";"46";"11";"Prefeito";"39444";"148";"40";"39444";"148";"33264";"6180";"N";"29447";"1547";"2270";"0";"0";"0";"18:06:08";"02/04/2017"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"78778";"SÃO JOÃO DO TRIUNFO";"78778";"SÃO JOÃO DO TRIUNFO";"52";"11";"Prefeito";"11123";"43";"1";"11123";"43";"9742";"1381";"N";"9109";"241";"392";"0";"0";"0";"18:13:40";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"78450";"SANTA FÉ";"78450";"SANTA FÉ";"150";"11";"Prefeito";"8539";"23";"0";"8539";"23";"7543";"996";"N";"7297";"61";"185";"0";"0";"0";"17:54:07";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"79111";"TAPEJARA";"79111";"TAPEJARA";"86";"11";"Prefeito";"11942";"31";"1";"11942";"31";"10024";"1918";"N";"9427";"183";"414";"0";"0";"0";"18:18:47";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75833";"GUARAPUAVA";"75833";"GUARAPUAVA";"43";"13";"Vereador";"74732";"263";"0";"74732";"263";"66307";"8425";"N";"54625";"4228";"3907";"3547";"0";"0";"13:01:22";"11/11/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75000";"ITAIPULÂNDIA";"75000";"ITAIPULÂNDIA";"122";"13";"Vereador";"9021";"26";"0";"9021";"26";"8053";"968";"N";"7192";"76";"475";"310";"0";"0";"17:33:36";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"78670";"SÃO CARLOS DO IVAÍ";"78670";"SÃO CARLOS DO IVAÍ";"100";"11";"Prefeito";"5248";"15";"0";"5248";"15";"4640";"608";"N";"4534";"39";"67";"0";"0";"0";"18:07:59";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"79278";"TOLEDO";"79278";"TOLEDO";"201";"11";"Prefeito";"31273";"119";"7";"31273";"119";"28588";"2685";"N";"26533";"791";"1264";"0";"0";"0";"17:54:40";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75914";"IBIPORÃ";"75914";"IBIPORÃ";"80";"13";"Vereador";"39039";"123";"0";"39039";"123";"31725";"7314";"N";"26242";"1992";"1795";"1696";"0";"0";"11:56:22";"16/11/2016"
