"UF";"Cargo";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Partido";"Coligação";"Turno";"Situação de totalização";"Votos nominais do candidato";"Voto em trânsito";"Votos válidos por abrangência";"% votos válidos";"Data última totalização"
"MT";"Prefeito";"45";"WILSON PEREIRA DOS SANTOS";"WILSON SANTOS";"PSDB";"PSDC / PMN / PEN / PHS / PRTB / PPS / PSL / PSDB / PSD / DEM / PSB / PV";"2";"Não eleito";"103483";"0";"261360";"39,59";"30/10/2016 18:57:11"
"PA";"Prefeito";"45";"ZENALDO RODRIGUES COUTINHO JUNIOR";"ZENALDO COUTINHO";"PSDB";"PSL / PSC / PSB / PMN / PEN / PR / PTC / PTN / PT do B / DEM / PRP / PSDC / PTB / SD / PSDB";"2";"Eleito";"396770";"0";"758146";"52,33";"30/10/2016 18:43:57"
"PA";"Prefeito";"50";"EDMILSON BRITO RODRIGUES";"EDMILSON";"PSOL";"PDT / PSOL / PPL / PV";"2";"Não eleito";"361376";"0";"758146";"47,67";"30/10/2016 18:43:57"
"PE";"Prefeito";"40";"GERALDO JULIO DE MELLO FILHO";"GERALDO JULIO";"PSB";"PMDB / PRTB / PC do B / PPL / PSC / PR / PMB / PTC / PP / PPS / PSD / PDT / PRP / SD / REDE / PSDC / PROS / PHS / PSB / PEN";"2";"Eleito";"528335";"0";"1541499";"34,27";"30/10/2016 19:09:12"
"PE";"Prefeito";"13";"JOÃO PAULO LIMA E SILVA";"JOÃO PAULO";"PT";"PRB / PT / PTN / PT do B / PTB";"2";"Não eleito";"333516";"0";"1541499";"21,64";"30/10/2016 19:09:12"
"PE";"Prefeito";"22";"ANDERSON FERREIRA RODRIGUES";"ANDERSON FERREIRA";"PR";"PR / PTN / DEM / PTB / PSL / PMB / PSC / PRB";"2";"Eleito";"171057";"0";"1541499";"11,1";"30/10/2016 19:04:10"
"PE";"Prefeito";"12";"MANOEL PEREIRA DA COSTA NECO";"NECO";"PDT";"PDT / PT do B / PEN";"2";"Não eleito";"121326";"0";"1541499";"7,87";"30/10/2016 19:04:10"
"PE";"Prefeito";"77";"LUPERCIO CARLOS DO NASCIMENTO";"PROFESSOR LUPERCIO";"SD";"SD";"2";"Eleito";"120225";"0";"1541499";"7,8";"30/10/2016 19:16:49"
"PE";"Prefeito";"45";"RAQUEL TEIXEIRA LYRA";"RAQUEL LYRA";"PSDB";"PRB / PSL / PTN / DEM / PRTB / PMN / PSDB / PEN / PT do B / PROS / PTB";"2";"Eleito";"93803";"0";"1541499";"6,09";"30/10/2016 18:57:52"
"PE";"Prefeito";"40";"ANTONIO RICARDO ACCIOLY CAMPOS";"ANTÔNIO CAMPOS";"PSB";"PSB / PHS / PR / PSC / PTC / PPL / REDE / PMB / PSDC / PROS / PEN";"2";"Não eleito";"90558";"0";"1541499";"5,87";"30/10/2016 19:16:49"
"PE";"Prefeito";"15";"ANTONIO GERALDO RODRIGUES DA SILVA";"TONY GEL";"PMDB";"PMDB / PV / PSD / PMB / PPS / SD / PSDC";"2";"Não eleito";"82679";"0";"1541499";"5,36";"30/10/2016 18:57:52"
"PR";"Prefeito";"33";"RAFAEL VALDOMIRO GRECA DE MACEDO";"RAFAEL GRECA";"PMN";"PMN / PSDB / PSB / DEM / PTN / PSDC / PT do B";"2";"Eleito";"461736";"0";"1245620";"37,07";"30/10/2016 18:16:15"
"PR";"Prefeito";"55";"NEY LEPREVOST NETO";"NEY LEPREVOST";"PSD";"PSC / PSD / PEN / PTC / PPL / PC do B / PSL";"2";"Não eleito";"405315";"0";"1245620";"32,54";"30/10/2016 18:16:15"
"PR";"Prefeito";"12";"ULISSES DE JESUS MAIA KOTSIFAS";"ULISSES MAIA";"PDT";"PDT / PV / PEN / PPL";"2";"Eleito";"118635";"0";"1245620";"9,52";"30/10/2016 18:02:54"
"PR";"Prefeito";"23";"MARCELO RANGEL CRUZ DE OLIVEIRA";"MARCELO RANGEL CRUZ OLIVEIRA";"PPS";"PPS / PSB / DEM / PSL / PSD / PSDB / PRB / PTB / PROS / PV / PP / PSC";"2";"Eleito";"98058";"0";"1245620";"7,87";"30/10/2016 18:08:23"
"PR";"Prefeito";"11";"SILVIO MAGALHÃES BARROS II";"SILVIO BARROS";"PP";"PP / PRB / PMDB / PSDB / PHS / PTB / PR / PPS / PTC / PRTB / PMN / PSDC / PSL / SD / PRP";"2";"Não eleito";"82868";"0";"1245620";"6,65";"30/10/2016 18:02:54"
"PR";"Prefeito";"18";"ALIEL MACHADO BARK";"ALIEL MACHADO";"REDE";"REDE / PTN / PR / PT / PMDB / PTC / PT do B";"2";"Não eleito";"79008";"0";"1245620";"6,34";"30/10/2016 18:08:23"
"RJ";"Prefeito";"10";"MARCELO BEZERRA CRIVELLA";"CRIVELLA";"PRB";"PRB / PTN / PR";"2";"Eleito";"1700030";"0";"4793994";"35,46";"30/10/2016 20:41:45"
"RJ";"Prefeito";"50";"MARCELO RIBEIRO FREIXO";"MARCELO FREIXO";"PSOL";"PSOL / PCB";"2";"Não eleito";"1163662";"0";"4793994";"24,27";"30/10/2016 20:41:45"
"RJ";"Prefeito";"22";"ROGERIO MARTINS LISBOA";"ROGERIO LISBOA";"PR";"PR / PT / PEN / PC do B / PPS / PDT";"2";"Eleito";"238081";"0";"4793994";"4,97";"30/10/2016 19:54:18"
"RJ";"Prefeito";"23";"JOSÉ LUIZ NANCI";"DR. JOSÉ LUIZ NANCI";"PPS";"PPS / PSL / SD";"2";"Eleito";"221754";"0";"4793994";"4,63";"30/10/2016 19:12:21"
"RJ";"Prefeito";"15";"WASHINGTON REIS DE OLIVEIRA";"WASHINGTON REIS";"PMDB";"PMDB / PSL / PPS / PRP / PHS / PSB";"2";"Eleito";"217800";"0";"4793994";"4,54";"30/10/2016 18:43:14"
"RJ";"Prefeito";"10";"DEJORGE PATRICIO DA SILVA";"DEJORGE PATRICIO";"PRB";"PRB / PMN / PRTB";"2";"Não eleito";"191699";"0";"4793994";"4";"30/10/2016 19:12:21"
"RJ";"Prefeito";"19";"JORGE MOREIRA THEODORO";"DICA";"PTN";"PTN / PRB / PT / PSC / PMN / PV / PROS / PSD / PC do B / PDT";"2";"Não eleito";"184230";"0";"4793994";"3,84";"30/10/2016 18:43:14"
"RJ";"Prefeito";"15";"NELSON ROBERTO BORNIER DE OLIVEIRA";"BORNIER";"PMDB";"PMDB / PTB / PSL / PTN / PSC / DEM / PSDC / PHS / PMN / PTC / PSB / PV / PSD / PROS / PRP / PP / PMB";"2";"Não eleito";"134422";"0";"4793994";"2,8";"30/10/2016 19:54:18"
"RJ";"Prefeito";"43";"RODRIGO NEVES BARRETO";"RODRIGO NEVES";"PV";"PV / PDT / PC do B / PTN / PRB / PT / PSL / SD / PTB / PMDB / PPS / PP / PRP / PEN / PMB / PRTB / REDE / DEM / PR";"2";"Eleito";"130473";"0";"4793994";"2,72";"30/10/2016 19:21:19"
"RJ";"Prefeito";"15";"WAGNER DOS SANTOS CARNEIRO";"WAGUINHO";"PMDB";"PMDB / PSL / PRB / PDT / PR / PT / PV / PRTB / PTN / PSC / PPS / PPL";"2";"Eleito";"117352";"0";"4793994";"2,45";"30/10/2016 18:37:07"
"RJ";"Prefeito";"40";"FELIPE DOS SANTOS PEIXOTO";"FELIPE";"PSB";"PSB / PSDB / PHS / PTC / PT do B / PSDC / PMN / PSD / PROS / PPL / PSC";"2";"Não eleito";"92205";"0";"4793994";"1,92";"30/10/2016 19:21:19"
